"","Date","Time","Receipt.number","Name","Variant","Unit","Quantity","Price..GBP.","Discount..GBP.","Final.price..GBP."
"110",2017-08-01,2017-08-20 16:18:00,7432,"Iced Coffee TA","Latte",NA,1,3.1,0,3.1
"111",2017-08-01,2017-08-20 16:37:00,7433,"Flat White","",NA,2,5.4,0,5.4
"112",2017-08-01,2017-08-20 16:37:00,7433,"Pastel De Nata TA","",NA,1,1.8,0,1.8
"113",2017-08-02,2017-08-20 06:15:00,7434,"Mocha","",NA,1,3.1,0,3.1
"114",2017-08-02,2017-08-20 06:31:00,7435,"Americano","",NA,1,2.5,0,2.5
"115",2017-08-02,2017-08-20 06:31:00,7435,"Toast","Cheese",NA,1,4,0,4
"116",2017-08-02,2017-08-20 06:31:00,7435,"Cake TA","Carrot",NA,1,2.8,0,2.8
"117",2017-08-02,2017-08-20 06:42:00,7436,"Macchiato","",NA,1,2.2,0,2.2
"118",2017-08-02,2017-08-20 06:42:00,7436,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"119",2017-08-02,2017-08-20 06:45:00,7437,"Flat White","",NA,1,2.7,0,2.7
"120",2017-08-02,2017-08-20 06:54:00,7438,"Flat White","",NA,1,2.7,0,2.7
"121",2017-08-02,2017-08-20 06:56:00,7439,"Americano","",NA,1,2.5,0,2.5
"122",2017-08-02,2017-08-20 07:12:00,7440,"Flat White","",NA,1,2.7,0,2.7
"123",2017-08-02,2017-08-20 07:19:00,7441,"Latte","",NA,1,2.9,0,2.9
"124",2017-08-02,2017-08-20 07:19:00,7441,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"125",2017-08-02,2017-08-20 07:47:00,7442,"Americano","",NA,1,2.5,0,2.5
"126",2017-08-02,2017-08-20 07:52:00,7443,"Flat White","",NA,1,2.7,0,2.7
"127",2017-08-02,2017-08-20 07:58:00,7444,"Espresso","",NA,1,2,0,2
"128",2017-08-02,2017-08-20 07:58:00,7444,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"129",2017-08-02,2017-08-20 07:58:00,7444,"Pastel De Nata TA","",NA,1,1.8,0,1.8
"130",2017-08-02,2017-08-20 07:58:00,7444,"Acqua Panna","",NA,1,1.5,0,1.5
"131",2017-08-02,2017-08-20 08:00:00,7445,"Acqua San Pellegrino","",NA,1,1.5,0,1.5
"132",2017-08-02,2017-08-20 08:00:00,7445,"Flat White","",NA,1,2.7,0,2.7
"133",2017-08-02,2017-08-20 08:00:00,7445,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
"134",2017-08-02,2017-08-20 08:04:00,7446,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"135",2017-08-02,2017-08-20 08:04:00,7446,"Milk Alternatives","Almond",NA,1,0.5,0,0.5
"136",2017-08-02,2017-08-20 08:04:00,7446,"Latte","",NA,2,5.8,0,5.8
"137",2017-08-02,2017-08-20 08:05:00,7447,"Flat White","",NA,1,2.7,0,2.7
"138",2017-08-02,2017-08-20 08:05:00,7447,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"139",2017-08-02,2017-08-20 08:08:00,7448,"Cappuccino","",NA,1,2.7,0,2.7
"140",2017-08-02,2017-08-20 08:09:00,7449,"Flat White","",NA,1,2.7,0,2.7
"141",2017-08-02,2017-08-20 08:15:00,7450,"Espresso","",NA,1,2,0,2
"142",2017-08-02,2017-08-20 08:15:00,7450,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"143",2017-08-02,2017-08-20 08:19:00,7451,"Flat White","",NA,1,2.7,0,2.7
"144",2017-08-02,2017-08-20 08:19:00,7451,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
